GAME_ID,GAME_DATE_EST,REAL_GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,Initials,nickname,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,nickname_away,Initials_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
22000009,12/25/20,12/25/20_Nuggets_Clippers,Final,1610612743,DEN,Nuggets,1610612746,2020,1610612743,108,0.457,0.742,0.306,25,32,1610612746,Clippers,LAC,121,0.554,0.833,0.5,32,38,0
22000005,12/25/20,12/25/20_Heat_Pelicans,Final,1610612748,MIA,Heat,1610612740,2020,1610612748,111,0.507,0.826,0.432,29,35,1610612740,Pelicans,NOP,98,0.397,0.788,0.286,18,41,1
22000006,12/25/20,12/25/20_Bucks_Warriors,Final,1610612749,MIL,Bucks,1610612744,2020,1610612749,138,0.556,0.692,0.556,25,60,1610612744,Warriors,GSW,99,0.343,0.84,0.222,14,43,1
22000007,12/25/20,12/25/20_Celtics_Nets,Final,1610612738,BOS,Celtics,1610612751,2020,1610612738,95,0.378,0.684,0.296,23,47,1610612751,Nets,BKN,123,0.539,0.839,0.517,21,43,0
22000008,12/25/20,12/25/20_Lakers_Mavericks,Final,1610612747,LAL,Lakers,1610612742,2020,1610612747,138,0.56,0.708,0.487,33,53,1610612742,Mavericks,DAL,115,0.494,0.769,0.406,20,27,1
22000021,12/26/20,12/26/20_Grizzlies_Hawks,Final,1610612763,MEM,Grizzlies,1610612737,2020,1610612763,112,0.398,0.862,0.302,20,46,1610612737,Hawks,ATL,122,0.427,0.868,0.361,23,54,0
22000022,12/26/20,12/26/20_Hornets_Thunder,Final,1610612766,CHA,Hornets,1610612760,2020,1610612766,107,0.398,0.625,0.406,27,47,1610612760,Thunder,OKC,109,0.455,0.792,0.278,25,54,0
22000023,12/26/20,12/26/20_Pistons_Cavaliers,Final,1610612765,DET,Pistons,1610612739,2020,1610612765,119,0.408,0.719,0.356,24,57,1610612739,Cavaliers,CLE,128,0.485,0.633,0.433,29,51,0
22000024,12/26/20,12/26/20_Wizards_Magic,Final,1610612764,WAS,Wizards,1610612753,2020,1610612764,120,0.484,0.536,0.351,28,43,1610612753,Magic,ORL,130,0.505,0.793,0.355,25,54,0
22000025,12/26/20,12/26/20_Knicks_76ers,Final,1610612752,NYK,Knicks,1610612755,2020,1610612752,89,0.386,0.739,0.276,19,43,1610612755,76ers,PHI,109,0.466,0.727,0.355,20,47,0
22000026,12/26/20,12/26/20_Bulls_Pacers,Final,1610612741,CHI,Bulls,1610612754,2020,1610612741,106,0.374,0.88,0.41,23,41,1610612754,Pacers,IND,125,0.559,0.632,0.346,34,49,0
22000027,12/26/20,12/26/20_Spurs_Raptors,Final,1610612759,SAS,Spurs,1610612761,2020,1610612759,119,0.47,0.688,0.412,36,53,1610612761,Raptors,TOR,114,0.458,0.733,0.366,32,46,1
22000028,12/26/20,12/26/20_Jazz_Timberwolves,Final,1610612762,UTA,Jazz,1610612750,2020,1610612762,111,0.383,0.784,0.294,15,57,1610612750,Timberwolves,MIN,116,0.446,0.722,0.448,21,40,0
22000029,12/26/20,12/26/20_Trail Blazers_Rockets,Final,1610612757,POR,Trail Blazers,1610612745,2020,1610612757,128,0.461,0.652,0.422,27,45,1610612745,Rockets,HOU,126,0.517,0.781,0.314,27,42,1
22000030,12/26/20,12/26/20_Kings_Suns,Final,1610612758,SAC,Kings,1610612756,2020,1610612758,106,0.453,0.697,0.217,20,56,1610612756,Suns,PHX,103,0.418,0.769,0.25,25,40,1
22000021,12/26/20,12/26/20_Grizzlies_Hawks,Final,1610612763,MEM,Grizzlies,1610612737,2020,1610612763,112,0.398,0.862,0.302,20,46,1610612737,Hawks,ATL,122,0.427,0.868,0.361,23,54,0
22000021,12/26/20,12/26/20_Grizzlies_Hawks,Final,1610612763,MEM,Grizzlies,1610612737,2020,1610612763,112,0.398,0.862,0.302,20,46,1610612737,Hawks,ATL,122,0.427,0.868,0.361,23,54,0
22000022,12/26/20,12/26/20_Hornets_Thunder,Final,1610612766,CHA,Hornets,1610612760,2020,1610612766,107,0.398,0.625,0.406,27,47,1610612760,Thunder,OKC,109,0.455,0.792,0.278,25,54,0
22000027,12/26/20,12/26/20_Spurs_Raptors,Final,1610612759,SAS,Spurs,1610612761,2020,1610612759,119,0.47,0.688,0.412,36,53,1610612761,Raptors,TOR,114,0.458,0.733,0.366,32,46,1
22000028,12/26/20,12/26/20_Jazz_Timberwolves,Final,1610612762,UTA,Jazz,1610612750,2020,1610612762,111,0.383,0.784,0.294,15,57,1610612750,Timberwolves,MIN,116,0.446,0.722,0.448,21,40,0
22000029,12/26/20,12/26/20_Trail Blazers_Rockets,Final,1610612757,POR,Trail Blazers,1610612745,2020,1610612757,128,0.461,0.652,0.422,27,45,1610612745,Rockets,HOU,126,0.517,0.781,0.314,27,42,1
22000030,12/26/20,12/26/20_Kings_Suns,Final,1610612758,SAC,Kings,1610612756,2020,1610612758,106,0.453,0.697,0.217,20,56,1610612756,Suns,PHX,103,0.418,0.769,0.25,25,40,1
22000031,12/27/20,12/27/20_Clippers_Mavericks,Final,1610612746,LAC,Clippers,1610612742,2020,1610612746,73,0.342,0.85,0.121,13,36,1610612742,Mavericks,DAL,124,0.494,0.889,0.341,25,54,0
22000032,12/27/20,12/27/20_Hornets_Nets,Final,1610612766,CHA,Hornets,1610612751,2020,1610612766,106,0.448,0.588,0.294,35,52,1610612751,Nets,BKN,104,0.427,0.68,0.362,23,46,1
22000033,12/27/20,12/27/20_Wizards_Magic,Final,1610612764,WAS,Wizards,1610612753,2020,1610612764,113,0.485,0.846,0.25,27,47,1610612753,Magic,ORL,120,0.435,0.974,0.36,19,45,0
22000034,12/27/20,12/27/20_Pelicans_Spurs,Final,1610612740,NOP,Pelicans,1610612759,2020,1610612740,98,0.383,0.724,0.208,15,56,1610612759,Spurs,SAS,95,0.427,1,0.306,26,47,1
22000035,12/27/20,12/27/20_Cavaliers_76ers,Final,1610612739,CLE,Cavaliers,1610612755,2020,1610612739,118,0.527,0.813,0.391,31,45,1610612755,76ers,PHI,94,0.418,0.727,0.324,24,39,1
22000036,12/27/20,12/27/20_Knicks_Bucks,Final,1610612752,NYK,Knicks,1610612749,2020,1610612752,130,0.541,0.815,0.593,27,46,1610612749,Bucks,MIL,110,0.432,0.724,0.184,24,44,1
22000037,12/27/20,12/27/20_Pacers_Celtics,Final,1610612754,IND,Pacers,1610612738,2020,1610612754,108,0.511,0.733,0.269,23,37,1610612738,Celtics,BOS,107,0.506,0.75,0.391,21,40,1
22000038,12/27/20,12/27/20_Bulls_Warriors,Final,1610612741,CHI,Bulls,1610612744,2020,1610612741,128,0.512,0.742,0.415,27,54,1610612744,Warriors,GSW,129,0.404,0.9,0.383,25,41,0
22000039,12/27/20,12/27/20_Kings_Suns,Final,1610612758,SAC,Kings,1610612756,2020,1610612758,100,0.474,0.72,0.435,21,39,1610612756,Suns,PHX,116,0.489,0.909,0.4,34,44,0
22000040,12/27/20,12/27/20_Lakers_Timberwolves,Final,1610612747,LAL,Lakers,1610612750,2020,1610612747,127,0.556,0.778,0.371,32,46,1610612750,Timberwolves,MIN,91,0.369,0.643,0.171,24,48,1
