NUMBER,PLAYER,,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
15,Clint Capela,Clint Capela,C,10-Jun,240,5/18/94,CH,6,
0,Coby White,Coby White,PG,5-Jun,195,2/16/00,US,1,UNC
50,Cole Anthony,Cole Anthony,PG,2-Jun,185,5/15/00,US,R,UNC
2,Collin Sexton,Collin Sexton,SG,1-Jun,190,1/4/99,US,2,Alabama
18,Cory Joseph,Cory Joseph,PG,3-Jun,200,8/20/91,CA,9,Texas
6,Cristiano Felicio,Cristiano Felicio,C,11-Jun,270,7/7/92,BR,5,
14,D.J. Augustin,D.J. Augustin,PG,11-May,183,11/10/87,US,12,Texas
0,D.J. Wilson,D.J. Wilson,PF,10-Jun,231,2/19/96,US,3,Michigan
0,D'Angelo Russell,D'Angelo Russell,PG,4-Jun,193,2/23/96,US,5,Ohio State
15,Damian Jones,Damian Jones,C,11-Jun,245,6/30/95,US,4,Vanderbilt
0,Damian Lillard,Damian Lillard,PG,2-Jun,195,7/15/90,US,8,Weber State
1,Damion Lee,Damion Lee,SG,5-Jun,210,10/21/92,US,3,"Drexel, Louisville"
21,Damyean Dotson,Damyean Dotson,SG,5-Jun,210,5/6/94,US,3,"Oregon, Houston"
21,Daniel Gafford,Daniel Gafford,C,10-Jun,234,10/1/98,US,1,Arkansas
10,Daniel Oturu,Daniel Oturu,C,8-Jun,240,9/20/99,US,R,Minnesota
27,Daniel Theis,Daniel Theis,C,8-Jun,245,4/4/92,DE,3,
8,Danilo Gallinari,Danilo Gallinari,PF,10-Jun,233,8/8/88,IT,11,
14,Danny Green,Danny Green,SF,6-Jun,215,6/22/87,US,11,UNC
,Dante Exum,Dante Exum,G,5-Jun,214,7/13/95,AU,5,
4,Danuel House,Danuel House,SF,6-Jun,220,6/7/93,US,4,Texas A&M
,DaQuan Jeffries,Daions Jeffries,G-F,5-Jun,230,8/30/97,US,1,"Oral Roberts, Tulsa"
20,Dario Saric,Dario Saric,C,10-Jun,225,4/8/94,HR,4,
7,Darius Bazley,Darius Bazley,PF,8-Jun,208,6/12/00,US,1,
10,Darius Garland,Darius Garland,PG,1-Jun,192,1/26/00,US,1,Vanderbilt
2,David Nwaba,David Nwaba,SF,5-Jun,219,1/14/93,US,4,Cal Poly
42,Davis Bertans,Davis Bertans,PF,10-Jun,225,11/12/92,LV,4,
5,De'Aaron Fox,De'Aaron Fox,PG,3-Jun,185,12/20/97,US,3,Kentucky
12,De'Andre Hunter,De'Andre Hunter,SF,8-Jun,225,12/2/97,US,1,Virginia
0,De'Anthony Melton,De'Anthony Melton,PG,2-Jun,200,5/28/98,US,2,USC
32,Dean Wade,Dean Wade,PF,9-Jun,228,11/20/96,US,1,Kansas State
22,Deandre Ayton,Deandre Ayton,C,11-Jun,250,7/23/98,BS,2,Arizona
6,DeAndre Jordan,DeAndre Jordan,C,11-Jun,265,7/21/88,US,12,Texas A&M
95,DeAndre' Bembry,DeAndre' Bembry,SF,5-Jun,210,7/4/94,US,4,Saint Joseph's
91,Deividas Sirvydis,Deividas Sirvydis,SG,8-Jun,190,6/10/00,LT,R,
5,Dejounte Murray,Dejounte Murray,PG,4-Jun,180,9/19/96,US,3,Washington
55,Delon Wright,Delon Wright,PG,5-Jun,185,4/26/92,US,5,Utah
10,DeMar DeRozan,DeMar DeRozan,PF,6-Jun,220,8/7/89,US,11,USC
15,DeMarcus Cousins,DeMarcus Cousins,C,10-Jun,270,8/13/90,US,9,Kentucky
9,Deni Avdija,Deni Avdija,SF,9-Jun,210,1/3/01,IL,R,
17,Dennis Schroder,Dennis Schroder,SG,3-Jun,172,9/15/93,DE,7,
0,Dennis Smith Jr.,Dennis Smith Jr.,PG,2-Jun,205,11/25/97,US,3,NC State
45,Denzel Valentine,Denzel Valentine,SG,4-Jun,220,11/16/93,US,3,Michigan State
"5, 55",Derrick Jones Jr.,Derrick Jones Jr.,SF,5-Jun,210,2/15/97,US,4,UNLV
4,Derrick Rose,Derrick Rose,PG,2-Jun,200,10/4/88,US,11,Memphis
4,Derrick White,Derrick White,SG,4-Jun,190,7/2/94,US,3,"Colorado-Colorado Springs, Colorado"
22,Desmond Bane,Desmond Bane,SG,5-Jun,215,6/25/98,US,R,TCU
1,Devin Booker,Devin Booker,SG,5-Jun,206,10/30/96,US,5,Kentucky
24,Devin Vassell,Devin Vassell,SF,5-Jun,200,8/23/00,US,R,Florida State
3,Devon Dotson,Devon Dotson,PG,2-Jun,185,8/2/99,US,R,Kansas
12,Devontae Cacok,Devontae Cacok,PF,7-Jun,240,10/8/96,US,1,UNC Wilmington
21,Dewayne Dedmon,Dewayne Dedmon,C,Jul-00,245,8/12/89,US,7,USC
0,Didi Louzada,Didi Louzada,SF,5-Jun,188,2/7/99,BR,R,
24,Dillon Brooks,Dillon Brooks,SF,7-Jun,225,1/22/96,CA,3,Oregon
11,Domantas Sabonis,Domantas Sabonis,PF,11-Jun,240,5/3/96,US,4,Gonzaga
45,Donovan Mitchell,Donovan Mitchell,PG,1-Jun,215,9/7/96,US,3,Louisville
0,Donte DiVincenzo,Donte DiVincenzo,SG,4-Jun,203,1/31/97,US,2,Villanova
10,Dorian Finney-Smith,Dorian Smith,PF,7-Jun,220,5/4/93,US,4,Florida
20,Doug McDermott,Doug McDermott,PF,7-Jun,225,1/3/92,US,6,Creighton
23,Draymond Green,Draymond Green,PF,6-Jun,230,3/4/90,US,8,Michigan State
14,Drew Eubanks,Drew Eubanks,C,9-Jun,245,2/1/97,US,2,Oregon State
55,Duncan Robinson,Duncan Robinson,SF,7-Jun,215,4/22/94,US,2,"Williams, Michigan"
8,Dwayne Bacon,Dwayne Bacon,SG,6-Jun,221,8/30/95,US,3,Florida State
39,Dwight Howard,Dwight Howard,C,10-Jun,265,12/8/85,US,16,
7,Dwight Powell,Dwight Powell,C,10-Jun,240,7/20/91,CA,6,Stanford
9,Dylan Windler,Dylan Windler,SF,6-Jun,196,9/22/96,US,R,Belmont
55,E'Twaun Moore,E'Twaun Moore,SG,3-Jun,191,2/25/89,US,9,Purdue
17,Ed Davis,Ed Davis,C,9-Jun,218,6/5/89,US,10,UNC
5,Edmond Sumner,Edmond Sumner,SG,4-Jun,196,12/31/95,US,3,Xavier
6,Elfrid Payton,Elfrid Payton,PG,3-Jun,195,2/22/94,US,6,Louisiana
3,Elijah Bryant,Elijah Bryant,SG,5-Jun,210,4/19/95,US,R,"Elon University, BYU"
33,Elijah Hughes,Elijah Hughes,SF,5-Jun,215,3/10/98,US,R,"Syracuse, East Carolina University"
